config,semilla,mejor_fitness,generaciones,n_molinos,tiempo_seg
Base,42,53.25,15,25,0.7012
Base,43,53.25,7,25,0.4198
Base,44,53.25,5,25,0.2302
Base,45,53.25,7,25,0.4613
Base,46,53.25,7,25,0.3273
Base,47,53.25,8,25,0.3686
Base,48,53.25,4,25,0.2127
Base,49,53.25,20,25,0.7809
Base,50,53.25,17,25,0.5997
Base,51,53.25,11,25,0.3852
Base,52,53.25,6,25,0.2906
Base,53,53.25,12,25,0.4358
Base,54,53.25,13,25,0.4647
Base,55,53.25,8,25,0.3392
Base,56,53.25,8,25,0.256
Base,57,53.25,6,25,0.2028
Base,58,53.25,6,25,0.2086
Base,59,53.25,4,25,0.1595
Base,60,53.25,10,25,0.3249
Base,61,53.25,4,25,0.1601
Base,62,53.25,4,25,0.1662
Base,63,53.25,2,25,0.1016
Base,64,53.25,13,25,0.3925
Base,65,53.25,6,25,0.2054
Base,66,53.25,4,25,0.1495
Base,67,53.25,4,25,0.1526
Base,68,53.25,6,25,0.203
Base,69,53.25,12,25,0.3505
Base,70,53.25,5,25,0.1794
Base,71,53.25,8,25,0.2961
