config,semilla,mejor_fitness,generaciones,n_molinos,tiempo_seg
Pop_050,42,53.25,5,25,0.118
Pop_050,43,53.25,14,25,0.1787
Pop_050,44,53.25,12,25,0.1599
Pop_050,45,53.25,5,25,0.0785
Pop_050,46,53.25,3,25,0.0597
Pop_050,47,53.25,3,25,0.0599
Pop_050,48,53.25,10,25,0.1378
Pop_050,49,53.25,13,25,0.1733
Pop_050,50,53.25,8,25,0.1202
Pop_050,51,53.25,10,25,0.1418
Pop_050,52,53.25,13,25,0.1746
Pop_050,53,53.25,6,25,0.0982
Pop_050,54,53.25,7,25,0.1093
Pop_050,55,53.25,10,25,0.1444
Pop_050,56,53.25,9,25,0.1294
Pop_050,57,53.25,4,25,0.0705
Pop_050,58,53.25,11,25,0.1464
Pop_050,59,53.25,7,25,0.1084
Pop_050,60,53.25,6,25,0.0979
Pop_050,61,53.25,2,25,0.0489
Pop_050,62,53.25,10,25,0.1484
Pop_050,63,53.25,7,25,0.1063
Pop_050,64,53.25,6,25,0.0892
Pop_050,65,53.25,9,25,0.1267
Pop_050,66,53.25,10,25,0.153
Pop_050,67,53.25,9,25,0.1312
Pop_050,68,53.25,10,25,0.1487
Pop_050,69,53.25,10,25,0.1447
Pop_050,70,53.25,9,25,0.1324
Pop_050,71,53.25,3,25,0.0645
Pop_100,42,53.25,10,25,0.2878
Pop_100,43,53.25,3,25,0.1211
Pop_100,44,53.25,15,25,0.4016
Pop_100,45,53.25,7,25,0.2278
Pop_100,46,53.25,7,25,0.2126
Pop_100,47,53.25,8,25,0.2468
Pop_100,48,53.25,4,25,0.1546
Pop_100,49,53.25,13,25,0.3984
Pop_100,50,53.25,9,25,0.286
Pop_100,51,53.25,9,25,0.2798
Pop_100,52,53.25,8,25,0.2399
Pop_100,53,53.25,9,25,0.2659
Pop_100,54,53.25,9,25,0.259
Pop_100,55,53.25,10,25,0.279
Pop_100,56,53.25,10,25,0.2939
Pop_100,57,53.25,10,25,0.4129
Pop_100,58,53.25,17,25,0.4758
Pop_100,59,53.25,10,25,0.2839
Pop_100,60,53.25,4,25,0.1412
Pop_100,61,53.25,7,25,0.2179
Pop_100,62,53.25,5,25,0.1819
Pop_100,63,53.25,4,25,0.1453
Pop_100,64,53.25,12,25,0.3324
Pop_100,65,53.25,5,25,0.1671
Pop_100,66,53.25,4,25,0.1481
Pop_100,67,53.25,10,25,0.3013
Pop_100,68,53.25,5,25,0.1757
Pop_100,69,53.25,7,25,0.2188
Pop_100,70,53.25,10,25,0.2822
Pop_100,71,53.25,4,25,0.1417
Pop_200,42,53.25,4,25,0.289
Pop_200,43,53.25,5,25,0.341
Pop_200,44,53.25,8,25,0.5043
Pop_200,45,53.25,2,25,0.2085
Pop_200,46,53.25,14,25,0.8074
Pop_200,47,53.25,15,25,1.2412
Pop_200,48,53.25,8,25,0.7376
Pop_200,49,53.25,6,25,0.623
Pop_200,50,53.25,6,25,0.6125
Pop_200,51,53.25,12,25,1.076
Pop_200,52,53.25,8,25,0.7372
Pop_200,53,53.25,2,25,0.29
Pop_200,54,53.25,6,25,0.5814
Pop_200,55,53.25,7,25,0.6638
Pop_200,56,53.25,11,25,0.9555
Pop_200,57,53.25,2,25,0.2691
Pop_200,58,53.25,9,25,0.7989
Pop_200,59,53.25,6,25,0.6029
Pop_200,60,53.25,6,25,0.6007
Pop_200,61,53.25,21,25,1.645
Pop_200,62,53.25,8,25,0.7471
Pop_200,63,53.25,10,25,0.8611
Pop_200,64,53.25,7,25,0.6914
Pop_200,65,53.25,5,25,0.5609
Pop_200,66,53.25,1,25,0.2049
Pop_200,67,53.25,18,25,1.4398
Pop_200,68,53.25,7,25,0.701
Pop_200,69,53.25,5,25,0.4936
Pop_200,70,53.25,13,25,1.0721
Pop_200,71,53.25,16,25,1.3207
